iso_code,continent,location,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
IMN,Europe,Isle of Man,84263,147.872,,,,,,,,,,81.4,
ISR,Asia,Israel,9291000,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,,2.99,82.97,0.919
ITA,Europe,Italy,59240330,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,,3.18,83.51,0.892
JAM,North America,Jamaica,2827694,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,66.425,1.7,74.47,0.734
JPN,Asia,Japan,124612530,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,,13.05,84.63,0.919
JEY,Europe,Jersey,109618,,,,,,,,,,,,
JOR,Asia,Jordan,11148278,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,1.4,74.53,0.729
KAZ,Asia,Kazakhstan,19196465,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,98.999,6.7,73.6,0.825
KEN,Africa,Kenya,53005614,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,24.651,1.4,66.7,0.601
KIR,Oceania,Kiribati,128874,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,,1.9,68.37,0.63
OWID_KOS,Europe,Kosovo,1782115,168.155,,,,9795.834,0.6,,,,,,
KWT,Asia,Kuwait,4250114,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,,2,75.49,0.806
KGZ,Asia,Kyrgyzstan,6527743,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,89.22,4.5,71.45,0.697
LAO,Asia,Laos,7425058,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,49.839,1.5,67.92,0.613
LVA,Europe,Latvia,1873919,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,,5.57,75.29,0.866
LBN,Asia,Lebanon,5592631,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,,2.9,78.93,0.744
LSO,Africa,Lesotho,2281454,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,2.117,,54.33,0.527
LBR,Africa,Liberia,5193416,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.188,0.8,64.1,0.48
LBY,Africa,Libya,6735277,3.623,29,4.424,2.816,17881.509,,341.862,10.43,,3.7,72.91,0.724
LIE,Europe,Liechtenstein,39039,237.012,,,,,,,7.77,,2.397,82.49,0.919
LTU,Europe,Lithuania,2786651,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,,6.56,75.93,0.882
OWID_LIC,,Low income,701926970,,,,,,,,,,,,
OWID_LMC,,Lower middle income,3363196660,,,,,,,,,,,,
LUX,Europe,Luxembourg,639321,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,,4.51,82.25,0.916
MAC,Asia,Macao,686607,20546.766,39.2,9.798,4.991,104861.851,,,,,,84.24,
MDG,Africa,Madagascar,28915653,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,50.54,0.2,67.04,0.528
MWI,Africa,Malawi,19889742,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,8.704,1.3,64.26,0.483
MYS,Asia,Malaysia,33573874,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,,1.9,76.16,0.81
MDV,Asia,Maldives,521458,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,95.803,,78.92,0.74
MLI,Africa,Mali,21904983,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,52.232,0.1,59.31,0.434
MLT,Europe,Malta,526748,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,,4.485,82.53,0.895
MHL,Oceania,Marshall Islands,42050,295.15,,,,3819.202,,557.793,30.53,82.502,2.7,73.7,0.704
MRT,Africa,Mauritania,4614974,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,15.95,,64.92,0.546
MUS,Africa,Mauritius,1298915,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,,3.4,74.99,0.804
MEX,North America,Mexico,126705138,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,87.847,1.38,75.05,0.779
FSM,Oceania,Micronesia (country),113131,150.777,23,4.81,2.392,3299.464,16,454.343,12.02,,,67.88,0.62
MDA,Europe,Moldova,3061506,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,86.979,5.8,71.9,0.75
MCO,Europe,Monaco,36686,19347.5,,,,,,,5.46,,13.8,86.75,
